reg,gender,err,mean,n,sd
7,,1,321.8,129,85.224
7,,Total,315.2,259,87.596
7,FF,0,308.4,129,79.995
7,,1,315.5,129,96.566
7,,Total,312,258,88.567
7,FM,0,310.5,127,92.053
7,,1,310.9,128,86.312
7,,Total,310.7,255,89.042
7,M,0,290.6,130,81.839
7,,1,319.1,128,95.581
7,,Total,304.7,258,89.888
7,MF,0,319.7,129,106.823
7,,1,335.2,119,140.665
7,,Total,325.3,248,124.327
7,MM(F),0,306.8,129,89.623
7,,1,313,130,92.187
7,,Total,304.7,259,90.845
7,MM(N),0,307.5,128,97.265
7,,1,322.1,131,114.407
7,,Total,314.9,259,106.328
7,MN,0,324,130,102.693
7,,1,350.5,129,112.902
7,,Total,337.2,259,108.507
7,NM,0,303.1,128,85.53
7,,1,316.8,130,115.856
7,,Total,310,258,101.981
7,NN,0,308.1,127,80.407
7,,1,331.9,129,104.735
7,,Total,320.1,256,94.039
7,Total,0,307.7,1287,91.114
7,,1,323.2,1282,105.706
7,,Total,315.4,2569,98.949
8,F,0,344.2,128,121.32
8,,1,340.6,127,105.078
8,,Total,342.4,255,113.313
8,FF,0,315.2,129,85.531
8,,1,337.9,131,123.69
8,,Total,326.7,260,106.883
8,FM,0,316.1,130,94.919
8,,1,317.9,130,97.853
8,,Total,317,260,96.215
8,M,0,310.8,130,92.966
8,,1,330,126,118.552
8,,Total,320.3,256,106.557
8,MF,0,334.9,125,110.083
8,,1,354.8,119,117.539
8,,Total,357.4,244,114.808
8,MM(F),0,317.6,130,105.126
8,,1,332.8,129,109.081
8,,Total,316.5,259,107.233
8,MM(N),0,328.5,129,111.745
8,,1,335.2,129,119.538
8,,Total,331.8,258,115.532
8,MN,0,343,128,111.49
8,,1,361.9,127,140.228
8,,Total,352.4,255,126.724
8,NM,0,330.5,126,116.676
8,,1,335.1,130,137.135
8,,Total,332.8,256,127.249
8,NN,0,343.8,129,113.25
8,,1,350.6,131,138.178
8,,Total,347.2,260,126.228
8,Total,0,328,1284,107.317
8,,1,340.6,1279,122.158
8,,Total,334.3,2563,115.113
9,F,0,389.7,75,165.07
9,,1,396.2,77,127.777
9,,Total,393,152,146.907
9,FF,0,360.7,127,108.309
9,,1,377.2,128,146.483
9,,Total,369,255,128.903
9,FM,0,370.8,129,137.82
9,,1,360,128,114.957
9,,Total,365.4,257,126.818
9,M,0,346.8,74,113.312
9,,1,372.2,75,160.566
9,,Total,359.6,149,139.23
9,MF,0,387.4,95,111.996
9,,1,407.3,87,146.258
9,,Total,397.3,182,129.5
9,MM(F),0,351.9,98,132.857
9,,1,365.8,98,131.26
9,,Total,350.6,196,131.845
9,MM(N),0,365.7,107,131.114
9,,1,365.6,106,136.757
9,,Total,365.6,213,133.636
9,MN,0,393.4,106,145.453
9,,1,414.3,106,181.267
9,,Total,403.9,212,164.283
9,NM,0,374.9,107,136.815
9,,1,382,107,154.869
9,,Total,378.4,214,145.821
9,NN,0,372.4,107,105.961
9,,1,396.2,107,154.548
9,,Total,384.3,214,132.727
9,Total,0,371.8,1025,129.457
9,,1,380.7,1019,146.969
9,,Total,376.3,2044,138.502
